Tweet,Etiket,cleaned_tweet
Noluyo olum yunan yine mi kudurdu ne bu jetler?,nefret,noluyo olum yunan yine mi kudurdu jetler
"Milli ve yerli olan ASELSAN üretimi cep telefonu kullanacağımı şimdiden ilan ediyorum. Yerli ve Milli Olsun, OSMANLl TORUNU RecepTayyip Erdoğan Damgası Olsun. Abd, İsrail,Ermeni ve Rum Yunan UŞAKLARI KESİNLİKLE KULLANMASIN OKADARRR!!!                 https://t.co/vG8H4AXbkn",nefret,milli yerli olan aselsan üretimi cep telefonu kullanacağımı şimdiden ilan ediyorum yerli milli olsun osmanll torunu receptayyip erdoğan damgası olsun abd i̇srail ermeni rum yunan uşaklari kesi̇nli̇kle kullanmasin okadarrr
Yunan kıza biz komşuyuz dedim VIRA BİSMİLLAH,hiçbiri,yunan kıza komşuyuz dedim vira bi̇smi̇llah
"21) Kıbrıs sorunu, 6-7 Eylül olayları patlak verene kadar Türk basınının gündeminden düşmemiş, bazı gazetelerde Patrikhane’nin Kıbrıs hakkındaki Yunan politikasını desteklemek maksadıyla İstanbullu Rumlardan para topladığına ilişkin haberler yayınlanmaya başlamıştır.",hiçbiri,21 kıbrıs sorunu 6 7 eylül olayları patlak verene kadar türk basınının gündeminden düşmemiş gazetelerde patrikhane nin kıbrıs hakkındaki yunan politikasını desteklemek maksadıyla i̇stanbullu rumlardan para topladığına ilişkin haberler yayınlanmaya başlamıştır
"20) Gazeteler Yunan basınında çıkan haberleri aktardıkları içinde eleştirilmiş ve Rumca gazetelerin Kıbrıs hakkında yorumda bulunmaması, Patrikhane için olduğu gibi, resmi görüşe karşı olmak şeklinde yorumlanmıştır.",hiçbiri,20 gazeteler yunan basınında çıkan haberleri aktardıkları içinde eleştirilmiş rumca gazetelerin kıbrıs hakkında yorumda bulunmaması patrikhane olduğu resmi görüşe karşı olmak şeklinde yorumlanmıştır
"7 Eylül Aydın’ımızın yunan işgalinden kurtuluşu kutlu olsun

🇹🇷🇹🇷",nefret,7 eylül aydın ımızın yunan işgalinden kurtuluşu kutlu olsun
"Röportaja yer veren CNN Türk'e teşekkürler, kaynak belirteydin iyiydi. 

Atakan Işıktutan, Survivor'da tanıştığı Yunan sorcu Katerina Dalaka için de ""Sonsuza kadar kalbimde olacak"" ifadelerini kullandı.

https://t.co/KKi30YHx9f https://t.co/jxXLzsxzHx",hiçbiri,röportaja yer veren cnn türk e teşekkürler kaynak belirteydin iyiydi atakan işıktutan survivor tanıştığı yunan sorcu katerina dalaka sonsuza kadar kalbimde olacak ifadelerini kullandı
"Yunan yeni dalgasının şahane yönetmeni Lanthimos'tan şahane bir film;

THE LOBSTER:

Yönetmen: Yorgos Lanthimos

Oyuncular: Colin Farrell, Rachel Weisz, Jessica Barden

Yapım Yılı: 2015

#Haftada1Film https://t.co/aYf6AM7yId",hiçbiri,yunan yeni dalgasının şahane yönetmeni lanthimos tan şahane bir film the lobster yönetmen yorgos lanthimos oyuncular colin farrell rachel weisz jessica barden yapım yılı 2015
"Türk-İslam düşmanı olan,pkk,ermeni ve yunan sevici bu iğrenç kadını savunan alçaktır! Milletin en hassas olduğu konularla bile alay eden bu soysuza verilen ceza az bile! Bu ve bunun gibi vatan hainleri en ağır şekilde cezalandırılmalıdır. #CananKaftancıoglu https://t.co/sVRoYenff3",nefret,türk i̇slam düşmanı olan pkk ermeni yunan sevici iğrenç kadını savunan alçaktır milletin hassas olduğu konularla bile alay eden soysuza verilen ceza bile bunun vatan hainleri ağır şekilde cezalandırılmalıdır
"5) İstanbul’un ve Türkiye’nin çikolata, ciklet ve şekerleme endüstrisinin %90’ı İstanbul’da çalışan Yunan vatandaşlarının ve onların ortağı olan Rumların elinde olmuş ve buna paralel olarak İstanbul’un hemen her semtindeki pastanelerin büyük kısmı Rumların tekelinde kalmıştır.",hiçbiri,5 i̇stanbul un türkiye nin çikolata ciklet şekerleme endüstrisinin 90 ı i̇stanbul çalışan yunan vatandaşlarının onların ortağı olan rumların elinde olmuş buna paralel olarak i̇stanbul un hemen semtindeki pastanelerin büyük kısmı rumların tekelinde kalmıştır
"YUNAN İŞGALİNDEN SONRA ALAŞEHİR'İN HİÇ GÖRÜLMEMİŞ FOTOĞRAFLARI
https://t.co/sspiE3Fvbk https://t.co/Mc3bXxPIwP",nefret,yunan i̇şgali̇nden sonra alaşehi̇r i̇n hi̇ç gör lmemi̇ş fotoğraflari
2) 1955 yılına gelindiğinde Kıbrıs’ta yaşanan olaylar zaten ülkede ki Yunan ve Rum vatandaşlarına iyi gözle bakmayan İstanbul Türk halkının sinirlerini iyice germiş durumdaydı. Birileri bu gerginliği büyük bir karışıklığa dönüştürmek için düğmeye bastı. Sırasıyla ele alalım.,hiçbiri,2 1955 yılına gelindiğinde kıbrıs ta yaşanan olaylar zaten ülkede yunan rum vatandaşlarına iyi gözle bakmayan i̇stanbul türk halkının sinirlerini iyice germiş durumdaydı birileri gerginliği büyük bir karışıklığa dönüştürmek düğmeye bastı sırasıyla ele alalım
Enez'den yüzerek Yunan'a kaçma fikri çıkma aklımdan https://t.co/ZqzhDsxSMU,hiçbiri,enez den yüzerek yunan a kaçma fikri çıkma aklımdan
#jichangwook yunan heykeli misin mübarek 🔥 https://t.co/BwdcFhovC4,hiçbiri,yunan heykeli misin mübarek
Fiber tekneyle Yunan adalarına gitmek isterken yakalandılar https://t.co/i7TeVpqKzC https://t.co/gjPkvi3ASV,hiçbiri,fiber tekneyle yunan adalarına gitmek isterken yakalandılar
"Yunan medyası: Türk medyası Som-B2 atışı için bayram ediyor. Türk İHA'ları Ege ve Doğu Akdeniz'i 24 saat boyunca kayıt altına alıyor.
https://t.co/NIC2NI7SoI",hiçbiri,yunan medyası türk medyası som b2 atışı bayram ediyor türk i̇ha ları ege doğu akdeniz i 24 saat boyunca kayıt altına alıyor
"Sarışın erkeklere yunan tanrısı dedikten sonra

Kalbim: şu esmer çocuğa aşık olsana
Beynim: neden
Kalbim: ol işte",hiçbiri,sarışın erkeklere yunan tanrısı dedikten sonra kalbim esmer çocuğa aşık olsana beynim kalbim ol işte
"kurtuluş savaşımızla, bir bakıma ve de aynı zamanda, islamiyeti  de silahlı azgın yunanlının elinden kurtaran, kuvayı milliye-kemalistlerdir.  iyi düşünülmeli.  hakaret amacıyla kemalist derseniz yunan tohumu olursunuz",nefret,kurtuluş savaşımızla bir bakıma aynı zamanda islamiyeti silahlı azgın yunanlının elinden kurtaran kuvayı milliye kemalistlerdir iyi düşünülmeli hakaret amacıyla kemalist derseniz yunan tohumu olursunuz
"Taaaa, 97 yıl geriye gidelim…

Tarihi de vereyim…

9 Eylül 1922…

İzmir’de üç yıldan fazladır süren Yunan işgali sona eriyor…
https://t.co/bSIDRW4BII",nefret,taaaa 97 yıl geriye gidelim tarihi vereyim 9 eylül 1922 i̇zmir üç yıldan fazladır süren yunan işgali sona eriyor
"Reşit Saffet Atabinen ve Naum Duhani, yunan delegelerle beraber
Yıldız sarayı bahçesi https://t.co/oPOqVKQzjI",hiçbiri,reşit saffet atabinen naum duhani yunan delegelerle beraber yıldız sarayı bahçesi
"Yunan kilisesi rahibi Daniel Gambrilis, amerikan korgeneral William Kean, Celal Bayar..  Elen kutlaması, Şikago https://t.co/2K5xEInprm",hiçbiri,yunan kilisesi rahibi daniel gambrilis amerikan korgeneral william kean celal bayar elen kutlaması şikago
"KRİPTO YUNAN EKREM'İN İLK İCRAATI İSTANBUL'A HİZMET VEREN VAKIF KURULUŞLARININ DESTEKLERİNİ KESMEK OLMUŞTUR.
KENDİNE ""CEMAAT, MUHAFAZAKAR İNSAN, MÜTEDEYYİN İNSAN"" DİYENLER CHP ZİHNİYETİNE OY VERDİKLERİ İÇİN PİŞMAN OLMUŞLAR MIDIR?  ALLAH ISLAH ETSİN. https://t.co/6f5JbeHd8x",nefret,kri̇pto yunan ekrem i̇n i̇lk i̇craati i̇stanbul a hi̇zmet veren vakif kuruluşlarinin destekleri̇ni̇ kesmek olmuştur kendi̇ne cemaat muhafazakar i̇nsan m tedeyyi̇n i̇nsan di̇yenler chp zi̇hni̇yeti̇ne oy verdi̇kleri̇ i̇çi̇n pi̇şman olmuşlar midir allah islah etsi̇n
#7eylül #aydin #yunan ı denize dökmeye 2 gün kaldı. #sanaborçluyuzatam https://t.co/ZWOJVbIt61,nefret,ı denize dökmeye 2 gün kaldı
"Turgutlu İlçemiz, 29 Mayıs 1919’den  7 Eylül 1922’ye kadar Yunan işgali altında kalmıştır.İlçedeki yangınların ardından 7 Eylül 1922’de Turgutlu düşman işgalinden kurtarılmıştır. Memleketin her karışında emeği olan Aziz şehitlerimizi rahmet ve minnetle anıyoruz
#Manisa #Turgutlu https://t.co/EznUIRwDFH",nefret,turgutlu i̇lçemiz 29 mayıs 1919 den 7 eylül 1922 ye kadar yunan işgali altında kalmıştır i̇lçedeki yangınların ardından 7 eylül 1922 turgutlu düşman işgalinden kurtarılmıştır memleketin karışında emeği olan aziz şehitlerimizi rahmet minnetle anıyoruz
"#7Eylül
#Aydın’ımızın Yunan işgalinden kurtuluşunun Yıl dönümünü kutluyor başta M.Kemal Atatürk olmak üzere,#Aydın`ın kurtuluşuna vesle olan büyük kahramanlk gösteren,milletimzn selameti için canlarndan vazgeçen aziz şehitlermze Rabbimden rahmet diliyor ve minnetle anıyorum.",nefret,ımızın yunan işgalinden kurtuluşunun yıl dönümünü kutluyor başta m kemal atatürk olmak üzere ın kurtuluşuna vesle olan büyük kahramanlk gösteren milletimzn selameti canlarndan vazgeçen aziz şehitlermze rabbimden rahmet diliyor minnetle anıyorum
"Saygı Karakolu (Süleyman Şah) ile Hatay arasındaki tek fark biri diğerinden daha küçük bir vatan toprağı! Eşek adası ile Gökçeada arasındaki fark gibi.
Biri terör örgütü işgali altında, diğeri ise Yunan işgali altında.",nefret,saygı karakolu süleyman şah hatay arasındaki tek fark diğerinden küçük bir vatan toprağı eşek adası gökçeada arasındaki fark terör örgütü işgali altında diğeri yunan işgali altında
"[Antik Yunan kültürü hakkında]: Onlar özgürlüklerden ziyade güvenlik peşindeydiler. Rahat bir hayat istediler ve sonunda hem güvenliklerini, hem konforlarını, hem de özgürlüklerini kaybettiler. – Edward Gibbon",hiçbiri,antik yunan kültürü hakkında onlar özgürlüklerden ziyade güvenlik peşindeydiler rahat bir hayat istediler sonunda güvenliklerini konforlarını özgürlüklerini kaybettiler edward gibbon
"Dionysus yunan şarap tanrısıdır.bazı kaynaklar orjinin Trak kökenli olduğunu belirtir.Bassareus yada bassara” tilki derisi gibi bir anlamı var yadaTrakya da rahiplerin giydiği uzun elbiseye deniliyor.  
#içki #diyonsus https://t.co/z3TELPRGjF",hiçbiri,dionysus yunan şarap tanrısıdır kaynaklar orjinin trak kökenli olduğunu belirtir bassareus yada bassara tilki derisi bir anlamı var yadatrakya rahiplerin giydiği uzun elbiseye deniliyor
Eskişehir yolundayım akşama doğru yunan ordularının takibine katılacağım. Dokuz eylülde izmir'de olacağım.,hiçbiri,eskişehir yolundayım akşama doğru yunan ordularının takibine katılacağım dokuz eylülde izmir olacağım
Bu ülkedenin içerisine sokulmuş kripto Ermeni ve yunan dölleri vardır ve bu sayı %25 tir...,nefret,ülkedenin içerisine sokulmuş kripto ermeni yunan dölleri vardır sayı 25 tir
7 Eylül; Türk Ordusunun Başkomutan Mustafa Kemal Atatürk önderliğinde Aydın'ın Yunan İşgalinden Kurtuluş Günüdür. Kurtuluş Günümüz Kutlu Olsun 🇹🇷🇹🇷,nefret,7 eylül türk ordusunun başkomutan mustafa kemal atatürk önderliğinde aydın ın yunan i̇şgalinden kurtuluş günüdür kurtuluş günümüz kutlu olsun
"Yunan askerleri izmirden kacarken heryeri yakip yikmisti.
Neron romayi yakmisti.tarih tekerrurdenmi ibaret olacak hep.nerden aklima dustuyse",hiçbiri,yunan askerleri izmirden kacarken heryeri yakip yikmisti neron romayi yakmisti tarih tekerrurdenmi ibaret olacak nerden aklima dustuyse
"İzmir'in düşman (Yunan) işgalinden kurtuluşunun 97. Yılı
 Ve CHP'nin 96. Yaş günü🙄

O değilde!!
Nasıl dek getirdiniz tam 1 sene sonrasına😮
 9 Eylül'e dikkat 
CHP ve  İzmir yaş günlerini kutlayacaklar🤔",nefret,i̇zmir in düşman yunan işgalinden kurtuluşunun 97 yılı chp nin 96 yaş günü değilde dek getirdiniz tam 1 sene sonrasına 9 eylül e dikkat chp i̇zmir yaş günlerini kutlayacaklar
Kıbrıs'ın üzerine Yunan bayrağı yerleştirilmiş! @kozmikturk https://t.co/NespXBau4r,hiçbiri,kıbrıs ın üzerine yunan bayrağı yerleştirilmiş
bundan 7 yüzyıl önce ünlü yunan düşünür Patistoteles’in de dediği gibi “kızaracak patates tavada durmaz”,hiçbiri,bundan 7 yüzyıl önce ünlü yunan düşünür patistoteles in dediği kızaracak patates tavada durmaz
"Yunan Bu Coğrafya ya Tatile zor geliyor hocam
İşgale gelmek çoooook sıkıyor,dudakları uçukluyor..
Ondan Bu SOROS Çocuklarına Taşeronluk yaptırıyorlar... https://t.co/Z4iecaacFt",nefret,yunan coğrafya tatile zor geliyor hocam i̇şgale gelmek çoooook sıkıyor dudakları uçukluyor ondan soros çocuklarına taşeronluk yaptırıyorlar
"ülkenin kurucu Cumhurbaşkanı ULU ÖNDER Mustafa Kemal Atatürk’e hakaret ve küfür eden, aşağılayan fatih tezcan gibi fetöcü Yunan tohumlarına neden aynı ceza verilmiyor?",nefret,ülkenin kurucu cumhurbaşkanı ulu önder mustafa kemal atatürk e hakaret küfür eden aşağılayan fatih tezcan fetöcü yunan tohumlarına aynı ceza verilmiyor
"#osmanlıya küfreden birinin 
TÜRK olma itimali sıfırdır ...
İnsan dedesine neden sövsün 
OSMANLIYI gavurlar kafirler 
Sevmez bu millete geçmişine 
Küfür ettiren zihniyete #CHP denir çünkü onlar yunan atıkları",nefret,küfreden birinin t rk olma itimali sıfırdır i̇nsan dedesine sövsün osmanliyi gavurlar kafirler sevmez millete geçmişine küfür ettiren zihniyete denir onlar yunan atıkları
"3 tarih vardır: 
Yunan, Roma, Türk
Diğerleri hikaye...
#TürkDemek",hiçbiri,3 tarih vardır yunan rom türk diğerleri hikaye
Düşünsenize eksiklerimiz var diyor. Ve 175 araç için ihale yapıyor. La sen nasıl bir süzme o çocuğusun hani israfdı hani bin 800 araç nerde la ermeni yunan tohumu bizim beldede bile 50 hizmet aracı var 16 milyonluk şehirde bu kadarcık mı ? Ve nerdeeeee haniiiii,nefret,düşünsenize eksiklerimiz var diyor 175 araç ihale yapıyor la sen bir süzme çocuğusun hani israfdı hani bin 800 araç la ermeni yunan tohumu bizim beldede bile 50 hizmet aracı var 16 milyonluk şehirde kadarcık nerdeeeee haniiiii
"Yunan devletinin B.Trakya Türk azınlığına tavrının kabaca 3 dönemi:

1) 1930'lara kadar süren, 150'likleri B.Trakya'ya getirip şeriatı kullanarak Türklüğü yok sayma devri (eski şeyhülislam Sabri)

2) Türklerin varlığını kabul dönemi

3) Türk kelimesinin bile yasaklandığı dönem https://t.co/kxXRMQ3k80",hiçbiri,yunan devletinin b trakya türk azınlığına tavrının kabaca 3 dönemi 1 1930 lara kadar süren 150 likleri b trakya getirip şeriatı kullanarak türklüğü yok sayma devri eski şeyhülislam sabri 2 türklerin varlığını kabul dönemi 3 türk kelimesinin bile yasaklandığı dönem
"ÖLÜM YILDÖNÜMÜ - ANMA ZAMANI
Azra Erhat ,Eski Yunan klasiklerinden yaptığı çevirilerle tanınmıştır. Vasiyeti üzerine; mezar taşında Füreya Koral ’nın yaptığı bir kuş vardır. 2016 yılında Erhat’ın mezar taşı saldıra uğramıştır.
https://t.co/Cw5CrUTPjL https://t.co/Fr8mDSp0uz",hiçbiri,öl m yildön m anma zamani azra erhat eski yunan klasiklerinden yaptığı çevirilerle tanınmıştır vasiyeti üzerine mezar taşında füreya koral nın yaptığı bir kuş vardır 2016 yılında erhat ın mezar taşı saldıra uğramıştır
yunan mitolojisinde melankoli tanrısı olsaydı radiohead'e verilirdi eminim.,hiçbiri,yunan mitolojisinde melankoli tanrısı olsaydı radiohead e verilirdi eminim
"#SanatçılarDiyarbakıra
Sütü bozuk yunan dölleri farklı farklı alakasız taglar açıp olayı altta bırakmaya çalışıyor.Bu orospu çocuklarına laf anlatmak çok zor çok  !!!",nefret,sütü bozuk yunan dölleri farklı farklı alakasız taglar açıp olayı altta bırakmaya çalışıyor orospu çocuklarına laf anlatmak zor
YUNAN Profesör: Türkiye ve Yunanistan Birleşmeli  // (Altyazılı) https://t.co/cqzPSkaIRa @YouTube aracılığıyla,hiçbiri,yunan profesör türkiye yunanistan birleşmeli altyazılı aracılığıyla
"ÖLÜMCÜL SORU
'Şehzade Şehri'
Olmakla övünen
Mani-sa'nın
Osmanlı çocukları, 
Osmanlı'yı
Yıkacak hale gelen
Kavalalı isyanına
Hiç karşı çıkmamış,
Hatta isyan ordusuna
Süvari birlikleri vermiş.
100 yıl sonra,
Yunan birliklerine
Binlerce asker vermiş!
SORU ŞU;
https://t.co/yDnaf5F8wl",hiçbiri,öl mc l soru şehzade şehri olmakla övünen mani sa nın osmanlı çocukları osmanlı yı yıkacak hale gelen kavalalı isyanına karşı çıkmamış hatta isyan ordusuna süvari birlikleri vermiş 100 yıl sonra yunan birliklerine binlerce asker vermiş soru
"kriyos nereden geliyor, bir manası var mı — Bir Yunan tanrısı adı dışında bir bilgi yok. Tıpkı bu twdeki insanların hakkimda bir şey bilmediği gibi. Böyle bir anlamı var. https://t.co/8xpnJ2opYx",hiçbiri,kriyos nereden geliyor bir manası var bir yunan tanrısı adı dışında bir bilgi yok tıpkı twdeki insanların hakkimda bir bilmediği böyle bir anlamı var
"Tek soruya tek soru; Yunanistan'daki Batı Trakya Türklerine veya Bulgaristan'da yaşayan ve buranın vatandaşı olan Türklere ne denir?

Türk veya Yunan vatandaşı Türk,
Türk veya Bulgar vatandaşı Türk,

Başka bir isimlendirme var mı? https://t.co/YXetxmIVrT",hiçbiri,tek soruya tek soru yunanistan daki batı trakya türklerine bulgaristan yaşayan buranın vatandaşı olan türklere denir türk yunan vatandaşı türk türk bulgar vatandaşı türk başka bir isimlendirme var
#7Eylül Aydın'ın kurtuluşu muzafferdir. Yunan mezaliminde kan kokan şehiri kurtaran yiğitler... https://t.co/cebeLTsrZi,nefret,aydın ın kurtuluşu muzafferdir yunan mezaliminde kan kokan şehiri kurtaran yiğitler
Neden yunan bir reel hesap beni takio eder?,hiçbiri,yunan bir reel hesap beni takio eder
Yunan şarkılarını da sevdiğim doğrudur.Hülya Avşar bu şarkıyı sevdim diye yorumlamıştı.Tabi bunun yanında çok sönük kalmıştı. Biri küçük kız çocuğuna biri de manitaya yazılmıştı. https://t.co/heSR8YlNUH,hiçbiri,yunan şarkılarını sevdiğim doğrudur hülya avşar şarkıyı sevdim yorumlamıştı tabi bunun yanında sönük kalmıştı küçük kız çocuğuna manitaya yazılmıştı
"Sevmediğim sadece frape bu arada, Yunan değil. Hatırası var çünkü.",hiçbiri,sevmediğim sadece frape arada yunan değil hatırası var
Olm bir itirafta bulunmak istiyorum. Ben bu frapeyi sırf Yunan’da olduğum belli olsun diye içtim hep. Sevdiğimden değil.,hiçbiri,olm bir itirafta bulunmak istiyorum ben frapeyi sırf yunan olduğum belli olsun içtim sevdiğimden değil
Türk ve Yunan donanmaları karşı karşıya geliyor - Aydınlık https://t.co/H2HU0BxmMF,hiçbiri,türk yunan donanmaları karşı karşıya geliyor aydınlık
"“Sizin Demokritos, Epikuros sevip sevmemeniz de o adamları yetersiz ve bakılması gerekli olmayan insanlar kılmıyor” deyişime “Doktoram Antik Yunan üzerine olduğu için....” ile başlayan bir cümle kuruluyor. Hep ben ben ben ben. Hoca olmayın siz nolur olmayın ya",hiçbiri,sizin demokritos epikuros sevip sevmemeniz adamları yetersiz bakılması gerekli olmayan insanlar kılmıyor deyişime doktoram antik yunan üzerine olduğu başlayan bir cümle kuruluyor ben ben ben ben hoca olmayın nolur olmayın
"Yunan 2.kolordu komutanı
Prince Andrew
1919 savaş değil ustaca kurgulanmış tiyatrodur
Düzenli bir ordumuz silah ve techitamız yoktu
İzmire niye çıktık anlamadım
Her şey Yunanistana geri dönünce anlaşıldı
Artık Yunanistanı Yunanlılar
Türkiyeyi Türkler yönetmiyordu https://t.co/HpichrV6fQ",hiçbiri,yunan 2 kolordu komutanı prince andrew 1919 savaş değil ustaca kurgulanmış tiyatrodur düzenli bir ordumuz silah techitamız yoktu i̇zmire çıktık anlamadım yunanistana geri dönünce anlaşıldı artık yunanistanı yunanlılar türkiyeyi türkler yönetmiyordu
Yunan bakan dahil kemer sıkıyor.. https://t.co/Ff45hZxw4p,hiçbiri,yunan bakan dahil kemer sıkıyor
"Sanki yunan isgali !
#5816YasasıİnsanHaklarınaDarbedir 
#5816YasasıİnsanHaklarınaDarbedir https://t.co/mhVf0TeOSr",nefret,yunan isgali
"Yunan site: ''Türkiye Yunan hava kuvvetlerinin hangarlarına saldırmaya hazırlanıyor, Delici başlığa sahip Som-B2 'yi denediler.''
Haber altına Yunan yorumu: ''Bundan birtane meclisimizi vursun da kurtulalım'' 😂 https://t.co/IOiJzOWrkr",hiçbiri,yunan site türkiye yunan hava kuvvetlerinin hangarlarına saldırmaya hazırlanıyor delici başlığa sahip som b2 yi denediler haber altına yunan yorumu bundan birtane meclisimizi vursun kurtulalım
"Ben olmak rus, sen olmak yunan, biz ne olmak",hiçbiri,ben olmak ru sen olmak yunan olmak
"İşleri güçleri Devlete baş kaldırarak CB Sn @RTErdogan ‘ın Aleyhinde olmak Sn @RTErdogan gitsin de Memleket İngiliz’in Yunan’ın eline geçse de bunlar İçin farketmez Hatta daha da iyi olur bunlara “Kanın da var”
@sedat_peker https://t.co/HkQepWd3wM",nefret,i̇şleri güçleri devlete baş kaldırarak cb sn ın aleyhinde olmak sn gitsin memleket i̇ngiliz in yunan ın eline geçse bunlar i̇çin farketmez hatta iyi olur bunlara kanın var
Ne açı bin yıldır dünyaya jandarmalık yaparken 403 yıl yönettiğimiz kıytırık Yunan'dan kurtulduk diye kurtuluş günleri düzenlemek Kemalizm budur çünkü yalanlarla dolu kurgu,nefret,açı bin yıldır dünyaya jandarmalık yaparken 403 yıl yönettiğimiz kıytırık yunan dan kurtulduk kurtuluş günleri düzenlemek kemalizm budur yalanlarla dolu kurgu
Alın size bir Yunan İhası daha.. (Maketi ). Aristotelis üniversitesinin çalışmasıymış. https://t.co/qIyZCagyO0,hiçbiri,alın size bir yunan i̇hası maketi aristotelis üniversitesinin çalışmasıymış
"Avuçlarını yalamayı ne kadar da çok seviyor şu Yunan Milleti...😂😂😂😂

Φωτογραφήθηκε λέει ό Ερντογάν, με ένα χάρτη στην...πλάτη του, πού δείχνει τά σύνορα της ""γαλάζιας πατρίδας του""!   Χαχαχαχα! 

 Καί λοιπόν;... https://t.co/KfHzqGDpNH",nefret,avuçlarını yalamayı kadar seviyor yunan milleti
"10 gün boyunca fizikçiler, matematikçiler, farklı alanlarda farklı okumalar yapan felsefeciler, hatta analitik felsefecilerle bile oturup konuştuk, tartıştık ama bu Antik Yunan bildiğini savlayan felsefecilerin bir kısmıyla asla ama asla anlaşılamıyor.",hiçbiri,10 gün boyunca fizikçiler matematikçiler farklı alanlarda farklı okumalar yapan felsefeciler hatta analitik felsefecilerle bile oturup konuştuk tartıştık antik yunan bildiğini savlayan felsefecilerin bir kısmıyla asla asla anlaşılamıyor
"Troillot uluslararası toplum hakkında şu yorumu yapmıştır: ""uluslararası toplumu çağdaş siyasetin bir tür Yunan
korosu olarak düşünüyorum. Kendisini şimdiye kadar kimse
görmemiştir ama arka planda şarkılar söylüyor ve herkes ona
eşlik ediyor.",hiçbiri,troillot uluslararası toplum hakkında yorumu yapmıştır uluslararası toplumu çağdaş siyasetin bir tür yunan korosu olarak düşünüyorum kendisini şimdiye kadar kimse görmemiştir arka planda şarkılar söylüyor herkes ona eşlik ediyor
"baglandıgına gösteren hiçbir bilgi yoktur.GENIŞ BİR HAYAL gücüyle düşünülse bile cografi açıdan KIBRIS yunanistan'ın BİR PARÇASI OLAMAZ.Adada yaşayan insanlar 
YUNANLI DEGİLDİR. 
onları yunan geleneklerine baglıyan tek şey dildir",hiçbiri,baglandıgına gösteren hiçbir bilgi yoktur geniş bi̇r hayal gücüyle düşünülse bile cografi açıdan kibris yunanistan ın bi̇r parçasi olamaz adada yaşayan insanlar yunanli degi̇ldi̇r onları yunan geleneklerine baglıyan tek dildir
"Kıbrıs yunan degil
9-13 Ekim 1907 İNGILTERE ESKI BAŞBAKANLARINDAN  Sir Wilson Churchill""....bu toplumun yunanistanın parçası oldugu fikrinin esası nedir?Yunanistan ile ada arasında ne tarihi ne de cografi bir bag vardır.Adanın tarih boyunca herhangi bir dönemde Yunanistan'a++++",hiçbiri,kıbrıs yunan degil 9 13 ekim 1907 i̇ngiltere eski başbakanlarindan sir wilson churchill toplumun yunanistanın parçası oldugu fikrinin esası nedir yunanistan ada arasında tarihi cografi bir bag vardır adanın tarih boyunca herhangi bir dönemde yunanistan a
"İktidara geldiğimizde Türkiye siyasetini 180 derece değiştireceğiz, Israil, Esed ve Yunan ile barışacağız vs vs demek yeni bir Nihat Erim hükümeti kurup Türk siyasetini ABDye eklemleyeceğiz, Fıratın doğusunda YPGye rıza gösterip ülkeyi İskenderun limanına hapsedeceğiz demektir👇🏽 https://t.co/lfcujZoRwK",hiçbiri,i̇ktidara geldiğimizde türkiye siyasetini 180 derece değiştireceğiz israil esed yunan barışacağız v v demek yeni bir nihat erim hükümeti kurup türk siyasetini abdye eklemleyeceğiz fıratın doğusunda ypgye rıza gösterip ülkeyi i̇skenderun limanına hapsedeceğiz demektir
Siyaset ölsün artıkın bıktık.Saltanat geri gelsin ya da ATATÜRK diktatörlüğü tekrar hakim olsun.Usandık bıktık demokrasi TÜRK için değilmiş bunu öğrendik.yunan piçinin milattan önceki uygulamasından bize ne?Milliyetçilik ne işe yaramış. it gibi yaşamak yerine Kurt gibi ölelim.,nefret,siyaset ölsün artıkın bıktık saltanat geri gelsin atat rk diktatörlüğü tekrar hakim olsun usandık bıktık demokrasi t rk değilmiş bunu öğrendik yunan piçinin milattan önceki uygulamasından bize milliyetçilik işe yaramış it yaşamak yerine kurt ölelim
"LAKAYIT:
Akinci-Lute- Anastasiades gorusmesi bizim icin kayit disidir. Yunan Başbakan'ı tek muhatabimizdir...",hiçbiri,lakayit akinci lute anastasiades gorusmesi bizim icin kayit disidir yunan başbakan ı tek muhatabimizdir
Al işte yine hanımefendinin biri beni yunan tanrısı sandı,hiçbiri,al işte yine hanımefendinin beni yunan tanrısı sandı
Felsefeyi bıraktım bu arada merak eden varsa. Antik yunan ve roma tarihine çalışıyorum çoğunlukla önerebileceğiniz kitap/belgesel/film tarzı seyler varsa önerilere açığım.,hiçbiri,felsefeyi bıraktım arada merak eden varsa antik yunan rom tarihine çalışıyorum çoğunlukla önerebileceğiniz kitap belgesel film tarzı seyler varsa önerilere açığım
AB'DEN YUNAN YÖNETİMİNE: TÜRKİYE'YE DAHA FAZLA SIĞINMACI GÖNDERİN! https://t.co/SGS6KLTzbA,hiçbiri,ab den yunan yöneti̇mi̇ne t rki̇ye ye fazla siğinmaci gönderi̇n
"GÜNLÜK

5 Eylül 1922 – Atatürk'ün Bakanlar Kurulu başkanına ateşkes konusundaki yanıtı:''Anadolu'daki Yunan ordusu kesin şekilde mağlup edilmiştir. Anadolu için herhangi bir görüşmeye gerek kalmamıştır. Anlaşma ancak Trakya için söz konusu olabilir.'' ++",hiçbiri,g nl k 5 eylül 1922 atatürk ün bakanlar kurulu başkanına ateşkes konusundaki yanıtı anadolu daki yunan ordusu kesin şekilde mağlup edilmiştir anadolu herhangi bir görüşmeye gerek kalmamıştır anlaşma ancak trakya söz konusu olabilir
